Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2021-01-01 00:00:00,France,France,FR,40.58,61.19,91.19,15.71,opendata.reseaux-energies.fr,false,
2021-01-01 01:00:00,France,France,FR,40.42,61.06,91.41,16.49,opendata.reseaux-energies.fr,false,
2021-01-01 02:00:00,France,France,FR,31.75,50.87,92.58,15.61,opendata.reseaux-energies.fr,false,
2021-01-01 03:00:00,France,France,FR,27.53,45.85,93.18,15.44,opendata.reseaux-energies.fr,false,
2021-01-01 04:00:00,France,France,FR,28.22,46.51,93.21,14.94,opendata.reseaux-energies.fr,false,
2021-01-01 05:00:00,France,France,FR,31.88,50.9,92.64,15.15,opendata.reseaux-energies.fr,false,
2021-01-01 06:00:00,France,France,FR,31.21,49.95,92.95,16.55,opendata.reseaux-energies.fr,false,
2021-01-01 07:00:00,France,France,FR,30.86,49.43,93.04,16.24,opendata.reseaux-energies.fr,false,
2021-01-01 08:00:00,France,France,FR,30.05,48.51,93.17,15.94,opendata.reseaux-energies.fr,false,
2021-01-01 09:00:00,France,France,FR,31.28,50.26,92.96,16.99,opendata.reseaux-energies.fr,false,
2021-01-01 10:00:00,France,France,FR,31.04,50.23,92.98,18.08,opendata.reseaux-energies.fr,false,
2021-01-01 11:00:00,France,France,FR,33.36,53.12,92.71,18.96,opendata.reseaux-energies.fr,false,
2021-01-01 12:00:00,France,France,FR,29.99,49.04,93.16,18.99,opendata.reseaux-energies.fr,false,
2021-01-01 13:00:00,France,France,FR,25.19,43.27,93.77,18.59,opendata.reseaux-energies.fr,false,
2021-01-01 14:00:00,France,France,FR,26.79,45.26,93.3,17.77,opendata.reseaux-energies.fr,false,
2021-01-01 15:00:00,France,France,FR,30.44,49.7,92.35,16.48,opendata.reseaux-energies.fr,false,
2021-01-01 16:00:00,France,France,FR,34.34,54.41,91.42,16.02,opendata.reseaux-energies.fr,false,
2021-01-01 17:00:00,France,France,FR,35.16,55.03,91.48,19.36,opendata.reseaux-energies.fr,false,
2021-01-01 18:00:00,France,France,FR,41.71,62.8,90.58,19.95,opendata.reseaux-energies.fr,false,
2021-01-01 19:00:00,France,France,FR,40.63,61.79,90.49,18.68,opendata.reseaux-energies.fr,false,
2021-01-01 20:00:00,France,France,FR,42.12,63.68,90.17,15.99,opendata.reseaux-energies.fr,false,
2021-01-01 21:00:00,France,France,FR,44.46,66.39,90.03,14.99,opendata.reseaux-energies.fr,false,
2021-01-01 22:00:00,France,France,FR,48.73,71.43,89.39,15.25,opendata.reseaux-energies.fr,false,
2021-01-01 23:00:00,France,France,FR,41.05,61.73,90.92,15.03,opendata.reseaux-energies.fr,false,
2021-01-02 00:00:00,France,France,FR,37.92,57.86,91.88,14.75,opendata.reseaux-energies.fr,false,
2021-01-02 01:00:00,France,France,FR,34.98,54.68,92.04,14.87,opendata.reseaux-energies.fr,false,
2021-01-02 02:00:00,France,France,FR,32.17,51.11,92.6,14.69,opendata.reseaux-energies.fr,false,
2021-01-02 03:00:00,France,France,FR,27.98,46.07,93.28,15.17,opendata.reseaux-energies.fr,false,
2021-01-02 04:00:00,France,France,FR,31.29,50.1,92.68,15.43,opendata.reseaux-energies.fr,false,
2021-01-02 05:00:00,France,France,FR,33.54,52.63,92.48,15.54,opendata.reseaux-energies.fr,false,
2021-01-02 06:00:00,France,France,FR,39.37,59.79,91.35,15.43,opendata.reseaux-energies.fr,false,
2021-01-02 07:00:00,France,France,FR,42.62,64.09,90.4,15.49,opendata.reseaux-energies.fr,false,
2021-01-02 08:00:00,France,France,FR,48.02,70.61,89.38,16.96,opendata.reseaux-energies.fr,false,
2021-01-02 09:00:00,France,France,FR,48.82,71.73,89.16,18.69,opendata.reseaux-energies.fr,false,
2021-01-02 10:00:00,France,France,FR,47.05,69.85,89.38,20.14,opendata.reseaux-energies.fr,false,
2021-01-02 11:00:00,France,France,FR,48.51,71.8,89.08,21.21,opendata.reseaux-energies.fr,false,
2021-01-02 12:00:00,France,France,FR,44.63,67.28,89.55,21.78,opendata.reseaux-energies.fr,false,
2021-01-02 13:00:00,France,France,FR,41.91,64.07,89.88,20.35,opendata.reseaux-energies.fr,false,
2021-01-02 14:00:00,France,France,FR,39.41,61.15,90.09,19.44,opendata.reseaux-energies.fr,false,
2021-01-02 15:00:00,France,France,FR,40.53,62.29,89.85,18.79,opendata.reseaux-energies.fr,false,
2021-01-02 16:00:00,France,France,FR,43.08,64.92,89.71,19.23,opendata.reseaux-energies.fr,false,
2021-01-02 17:00:00,France,France,FR,48.56,71.15,89.13,20.71,opendata.reseaux-energies.fr,false,
2021-01-02 18:00:00,France,France,FR,53.9,77.43,88.39,21.09,opendata.reseaux-energies.fr,false,
2021-01-02 19:00:00,France,France,FR,55.77,79.76,87.99,19.11,opendata.reseaux-energies.fr,false,
2021-01-02 20:00:00,France,France,FR,59.09,83.73,87.46,16.67,opendata.reseaux-energies.fr,false,
2021-01-02 21:00:00,France,France,FR,58.97,83.48,87.64,15.17,opendata.reseaux-energies.fr,false,
2021-01-02 22:00:00,France,France,FR,61.35,86.12,87.47,15.75,opendata.reseaux-energies.fr,false,
2021-01-02 23:00:00,France,France,FR,54.08,77.35,88.92,15.93,opendata.reseaux-energies.fr,false,
2021-01-03 00:00:00,France,France,FR,49.09,70.95,90.43,16.73,opendata.reseaux-energies.fr,false,
